Приоритет,Название,Локация,Тип,Сайт,Телефон,Email,Источник,Почему подходит,Статус,Следующий шаг,Дата контакта,Комментарий
2,Sochi Park Hotel,Сириус,Гостинично-оздоровительный комплекс 3*,https://sochiparkhotel.ru/,,,https://sochiparkhotel.ru/,"Очень большой номерной фонд; много повторяющихся вопросов гостей",Не contacted,Искать контакт управляющего/операционного отдела,,
2,Alean Family Sputnik,Сочи,Семейный курорт 4*,https://sputnikresort.ru/,"8 800 250 00 30",,https://sputnikresort.ru/,"Много услуг, семейный отдых, высокая нагрузка на инфосервис",Не contacted,Использовать теплый контакт из прошлого опыта,,
2,Отель-замок Богатырь 4*,Сириус,Семейный отель 4*,https://bogatyr-castle.ru/,"8 800 100 33 39",,https://bogatyr-castle.ru/,"Семейный отель; много вопросов по парку и услугам",Не contacted,Отправить через сайт/найти отдел продаж,,
2,Курорт Красная Поляна,Красная Поляна,Курорт / отели и апартаменты,https://krasnayapolyanaresort.ru/,"8 800 550 20 20",,https://krasnayapolyanaresort.ru/,"Несколько отелей и апартаментов; много сервисной информации",Не contacted,Искать B2B/партнерский контакт,,
2,Поляна 1389 Отель и СПА,Красная Поляна,Отель и СПА,https://polyanaski.ru/hotels/polyana-1389-otel-i-spa/,"8 800 550 53 33",,https://polyanaski.ru/hotels/polyana-1389-otel-i-spa/,"СПА, бассейн, горный курорт; подходит демо Spa Resort",Не contacted,Отправить через контакты Газпром Поляна,,
2,ГТЦ Газпром Поляна,Красная Поляна,Курорт / гостиничная инфраструктура,https://polyanaski.ru/galaxy/contacts/,"8 (800) 550 53 33; +7 (862) 259 59 59",r@gazprom-polyana.ru; info@gazprom-polyana.ru,https://polyanaski.ru/galaxy/contacts/,"Курорт с отелями, СПА и большим количеством услуг",Не contacted,Отправить B2B-письмо,,
2,КО «Беларусь»,Красная Поляна,Курортный объект,https://polyana-belarus.ru/,"8 (862) 243-97-88",,https://polyana-belarus.ru/,"179 номеров, коттеджи, бассейны, рестораны; много услуг",Не contacted,Отправить сообщение в бронирование,,
2,Rixos Красная Поляна Сочи,Красная Поляна,Отель 5*,https://rix-hotel-polyana.ru/contacts/,"8 (861) 207-15-20",,https://rix-hotel-polyana.ru/contacts/,"Премиальный горный отель; сильный кейс для СПА/услуг",Не contacted,Найти управляющего/отдел продаж,,
2,Сбер Корпоративный Центр,Красная Поляна,Отель 5*,https://sbcc.ru/,"8 (862) 245-52-20",reservation@sbcc.ru,https://sbcc.ru/,"5* объект; семейный отдых и корпоративная аудитория",Не contacted,Отправить письмо в reservation с просьбой переадресовать,,
3,Грейс Эдем,Адлер,Гостевой дом / отель,https://grace-hotels.ru/contacts-edem/,"8 (800) 551-65-62",zakaz@grace-edem.ru,https://grace-hotels.ru/contacts-edem/,"Есть трансфер, гости часто спрашивают правила и услуги",Не contacted,Отправить email/горячая линия,,
3,Фламинго,Адлер,Гостиница,https://www.adler-flamingo.ru/,,,https://www.adler-flamingo.ru/,"Гостиница у пляжа; подойдет легкий QR-гид",Не contacted,Найти контакты на сайте и отправить короткое сообщение,,
3,Причал,Адлер,Отель,https://www.adler-prichal.ru/contacts,"8 (862) 240 41 10; 8 (988) 404 41 10",,https://www.adler-prichal.ru/contacts,"Объект у моря; можно предлагать простой QR-гид",Не contacted,Позвонить/написать администратору,,
3,Alfa Sochi,Сочи,Апарт-отель,https://hotelalfasochi.ru/,88002221257,,https://hotelalfasochi.ru/,"Апарт-отель; есть управляющая компания",Не contacted,Отправить предложение через контакты сайта,,
3,Штиль,Адлер / Курортный городок,Отель,https://hotelshtil.ru/,,,https://hotelshtil.ru/,"Отель у моря; гостям нужны правила, контакты, услуги рядом",Не contacted,Найти контакты и отправить сообщение,,
3,Ламонт,Эстосадок,Апарт-отель со СПА,Нужно уточнить,,,https://2gis.ru/sochi/search/%D0%A1%D0%BF%D0%B0%20%D0%BE%D1%82%D0%B5%D0%BB%D0%B8%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BE%D0%BB%D1%8F%D0%BD%D0%B0,"Апарт-отель в горах со СПА; отличный тип для демо",Не contacted,Найти официальный сайт и контакт,,
